timestamp,total_consumption
2016-01-01T00:00:00.000,138009.89770000023
2016-01-01T01:00:00.000,159387.77960000015
2016-01-01T02:00:00.000,159624.8986999999
2016-01-01T03:00:00.000,159798.28029999993
2016-01-01T04:00:00.000,160311.3105000001
2016-01-01T05:00:00.000,161600.59530000016
2016-01-01T06:00:00.000,165825.9368
2016-01-01T07:00:00.000,172141.78160000016
2016-01-01T08:00:00.000,172751.6109000002
2016-01-01T09:00:00.000,172016.11710000003
2016-01-01T10:00:00.000,171775.5804999998
2016-01-01T11:00:00.000,172673.84349999978
2016-01-01T12:00:00.000,172914.61060000004
2016-01-01T13:00:00.000,172791.56940000004
2016-01-01T14:00:00.000,172904.4427000002
2016-01-01T15:00:00.000,173370.8470000001
2016-01-01T16:00:00.000,173554.21910000022
2016-01-01T17:00:00.000,174330.7878000002
2016-01-01T18:00:00.000,175145.24910000002
2016-01-01T19:00:00.000,172453.86370000005
2016-01-01T20:00:00.000,171418.11890000003
2016-01-01T21:00:00.000,169511.34310000006
2016-01-01T22:00:00.000,166691.8722000001
2016-01-01T23:00:00.000,163298.68340000018
2016-01-02T00:00:00.000,162697.13770000022
2016-01-02T01:00:00.000,162016.1774999999
2016-01-02T02:00:00.000,161577.19360000017
2016-01-02T03:00:00.000,161508.38019999999
2016-01-02T04:00:00.000,161733.28370000026
2016-01-02T05:00:00.000,163085.26649999985
2016-01-02T06:00:00.000,165995.51160000017
2016-01-02T07:00:00.000,170551.9902999998
2016-01-02T08:00:00.000,173981.09130000015
2016-01-02T09:00:00.000,174746.1769999999
2016-01-02T10:00:00.000,175890.35679999998
2016-01-02T11:00:00.000,176887.0007
2016-01-02T12:00:00.000,178635.83760000023
2016-01-02T13:00:00.000,178689.68980000023
2016-01-02T14:00:00.000,179109.6422999999
2016-01-02T15:00:00.000,179951.94079999972
2016-01-02T16:00:00.000,179347.1260000002
2016-01-02T17:00:00.000,178945.22929999995
2016-01-02T18:00:00.000,178361.67809999982
2016-01-02T19:00:00.000,175839.42540000015
2016-01-02T20:00:00.000,174398.21240000028
2016-01-02T21:00:00.000,172081.2498000001
2016-01-02T22:00:00.000,168777.19720000026
2016-01-02T23:00:00.000,166213.8833000001
2016-01-03T00:00:00.000,163607.7860000003
2016-01-03T01:00:00.000,161565.97559999977
2016-01-03T02:00:00.000,161704.9987000001
2016-01-03T03:00:00.000,161118.67119999992
2016-01-03T04:00:00.000,161742.84800000003
